generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
46,70,2.7843163228437854e-05,2.9005106833609895e-05,2.868877814145577e-05,3.2779794281669123e-07
47,64,2.7843163228437854e-05,2.9005106833609895e-05,2.868696185138347e-05,3.5077880901574813e-07
48,74,2.7843163228437854e-05,2.9005106833609895e-05,2.872451517130644e-05,3.121128486913396e-07
49,64,2.839936926848969e-05,2.9005106833609895e-05,2.875879138188158e-05,2.947618286701891e-07
50,66,2.839936926848969e-05,2.9005106833609895e-05,2.8764587454503697e-05,2.94989337177263e-07
51,68,2.839936926848969e-05,2.9005106833609895e-05,2.8785526966253822e-05,2.9119144227382155e-07
52,70,2.839936926848969e-05,2.9005106833609895e-05,2.882338556407383e-05,2.775838243445427e-07
53,66,2.8014588908397318e-05,2.9005106833609895e-05,2.8818575809572682e-05,2.880263415738396e-07
54,72,2.839936926848969e-05,2.9005106833609895e-05,2.883400415095335e-05,2.6999800141601045e-07
55,62,2.8164111040770735e-05,2.9005106833609895e-05,2.880077654485085e-05,2.881397765645389e-07
56,74,2.8164111040770735e-05,2.9005106833609895e-05,2.8789622828482837e-05,2.8828114459241945e-07
57,70,2.7218794188146937e-05,2.9005106833609895e-05,2.878906622366208e-05,3.3179498621844134e-07
58,60,2.7218794188146937e-05,2.9005106833609895e-05,2.874058781411141e-05,3.7563911352026845e-07
59,61,2.661517819895867e-05,2.9005106833609895e-05,2.8695290259049762e-05,4.459333359314328e-07
60,65,2.7218794188146937e-05,2.9005106833609895e-05,2.8650166029285425e-05,4.1847319206502227e-07
61,72,2.7218794188146937e-05,2.9005106833609895e-05,2.860792061652908e-05,4.791886112584382e-07
62,70,2.7218794188146937e-05,2.9005106833609895e-05,2.8635064205999413e-05,4.4369848167958404e-07
63,68,2.7218794188146937e-05,2.9005106833609895e-05,2.862042892951393e-05,4.4028865390003266e-07
64,66,2.7218794188146937e-05,2.9005106833609895e-05,2.8628554696115447e-05,4.008873082104318e-07
65,70,2.7218794188146937e-05,2.9005106833609895e-05,2.8562737609791343e-05,4.622466997998262e-07
66,68,2.7218794188146937e-05,2.9005106833609895e-05,2.8512180322445477e-05,4.462429730027586e-07
67,62,2.7218794188146937e-05,2.9672733952198866e-05,2.849107857397432e-05,3.7728415459898695e-07
68,66,2.7218794188146937e-05,2.9672733952198866e-05,2.848964135891051e-05,4.515956659918845e-07
69,64,2.7218794188146937e-05,2.9005106833609895e-05,2.8347531572851954e-05,4.852222757239111e-07
70,72,2.7218794188146937e-05,2.9005106833609895e-05,2.8322187444269312e-05,5.05234837105688e-07
71,59,2.7218794188146937e-05,2.9005106833609895e-05,2.8353977928908674e-05,4.730019861622292e-07
72,76,2.7218794188146937e-05,2.927176534753708e-05,2.8339272912567078e-05,4.886904924011893e-07
73,62,2.7218794188146937e-05,2.927176534753708e-05,2.8386959324291435e-05,5.285393532954644e-07
74,74,2.7218794188146937e-05,2.9005106833609895e-05,2.8391324657337743e-05,4.848572287910628e-07
75,64,2.7218794188146937e-05,2.9005106833609895e-05,2.8442388956964947e-05,4.5965203471160507e-07
76,68,2.7218794188146937e-05,2.9005106833609895e-05,2.8404061547838347e-05,5.007848526542307e-07
77,70,2.7218794188146937e-05,2.9005106833609895e-05,2.8324139584964516e-05,4.929580693900688e-07
